Rep,N,Crate,Model,LogLik,AIC,BIC,nu
18,25,0.0,MSLR,-237.416002195899,512.832004391799,535.990645064295,4
18,25,0.0,MVNCR,-244.798253550219,525.596507100437,547.536271948065,4
18,25,0.0,MVTCR,-238.650059059193,515.300118118386,538.458758790882,4
18,25,0.0,MSLCR,-237.51403911645,513.028078232899,536.186718905395,4
19,25,0.0,MVNR,-230.533763690923,497.067527381846,519.007292229474,4
19,25,0.0,MVTR,-230.500538749544,499.001077499087,522.159718171583,4
19,25,0.0,MSLR,-230.54203069724,499.084061394479,522.242702066975,4
19,25,0.0,MVNCR,-230.533763690923,497.067527381846,519.007292229474,4
19,25,0.0,MVTCR,-230.500538749533,499.001077499066,522.159718171561,4
19,25,0.0,MSLCR,-230.861888215996,499.723776431992,522.882417104488,4
20,25,0.0,MVNR,-230.522146738318,497.044293476637,518.984058324264,4
20,25,0.0,MVTR,-229.82606654504,497.65213309008,520.810773762576,4
20,25,0.0,MSLR,-228.949510499228,495.899020998456,519.057661670952,4
20,25,0.0,MVNCR,-230.522146738318,497.044293476637,518.984058324264,4
20,25,0.0,MVTCR,-229.826066545042,497.652133090084,520.81077376258,4
20,25,0.0,MSLCR,-229.069981220814,496.139962441628,519.298603114124,4
21,25,0.0,MVNR,-239.052549019463,514.105098038925,536.044862886553,4
21,25,0.0,MVTR,-237.570246767788,513.140493535576,536.299134208072,4
21,25,0.0,MSLR,-237.368220402025,512.73644080405,535.895081476546,4
21,25,0.0,MVNCR,-239.052549019463,514.105098038925,536.044862886553,4
21,25,0.0,MVTCR,-237.570246767898,513.140493535795,536.299134208291,4
21,25,0.0,MSLCR,-237.445721536967,512.891443073934,536.05008374643,4
